retweet_text,sentiment,hashtags,lang
year yield telling us theres high risk something breaking system gold silver httpstcorhtz k xk,1,gold,en
german y mortgage rate went hear sound german real estate bubble bursting httpstcohidoiokmak,1, ,en
rates rise something breaks anything broken yet httpstcobrnjek wtb,0, ,en
buying opportunities like occur every years bonds httpstcocytvknxkzd,0,bonds,en
welcome september bond markets testing risk assets private sector handle ca httpstcomdd dkfw v,1, ,en
global growth optimism time lows raise rates times see happens httpstco jqoqctrqj,1, ,en
important chart world demand outlook demand softening even fed r httpstcohew lnjt g,1, ,en
annual mortgage payments us higher peak bubble httpstcotruizc o u,1, ,en
important chart global macro right mind gap httpstcorz t qtwkv,1, ,en
ecbs lagarde ecb complete asset purchases first hike time thereafter time anytim httpstcodcyljnjww,1,ecb,en
year mortgage rates highest since fed wants cool demand slowing housi httpstcoc xsfxrvfv,1, ,en
good example deflation coming fitch says oil prices hover near bbl means gas httpstcoo kg ftkoq,1,deflation,en
set silver follow commodities would imply massive appreciation current httpstcoahk eage f,0, ,en
breaking year treasury yields broke another imaginary line drawn random time scale log chart th httpstcoularuirffo,0, ,en
stunning fact japan price housing hasnt increased years httpstco rre ysv,1, ,en
years trading absolutely astonished simple fact regardless assetasset class httpstcothveafr fz,1, ,en
since s every time consumer sentiment depressing fed forced cut rates order stim httpstcohhnxcrhevl,0, ,en
us financial assets market value x gdp holy crap httpstcowui wb skj,0, ,en
emmetts law dread task uses time energy task,1, ,en
black line spread horizontal line means curve inverted grey shade httpstco t aaa uk,0, ,en
revisiting russellnapiers work anatomy bearmarket review salient points annotat httpstco daswv y,1,russellnapiers,en
naval truth like lion dont defend let loose defend augustine httpstcogyv hsgpvs,0, ,en
spending money show people much money fastest way less money psychology money,1, ,en
yield curve starting invert pointing us economic troubles ahead video time sound optio httpstcolgr s arzy,1, ,en
twitter bid succeeds defeat spam bots die trying,1, ,en
risen rejoice life remember longer us love see everyday bring com httpstcop bxthzevs,1, ,en
smiting god passover good friday new york times essayist shalom auslander wrote killing hateful httpstcoxcwksr ry,1, ,en
youre family right easter youre reading tweet turn damn phone get ba httpstcosie b bff,1, ,en
texas governor gregabbott tx carries pledge transport illegal migrants washington dc bus pulle httpstcoyfghxhemtp,0, ,en
global economy slows commodity flowsthe game easy jumping one asset class httpstcouqckrhn l,1, ,en
important put things context sampp total return including dividends last months httpstcod ptdy old,1, ,en
question prosperity important peace wrongly composed prosperity without na httpstcoxuobuywbgz,1, ,en
china remembers hk well covid amp elderly population got hit cbbs sc httpstconfkvinskew,1,china,en
us credit vulnerable asian investors start reducing holdings beginning happen bny httpstco mzmqasnrp,0, ,en
us manufacturing pmi vs exp us services pmi vs exp weak composition pmi vs exp weak,0, ,en
countries delivering weapons hasnt third world war httpstcoeyuogmykoc,0, ,en
far k people died putins war ukrainian civilians secondmost russian soldiers httpstcopo edxlphy,1, ,en
seems laughable economists calling fed hawkish even bp hike real fed funds httpstcokru hapyil,0,economists,en
chinese government asking local funds buy equities stimulus underwhelmsnever great sign,1, ,en
dictators brutal capricious cant weak serious problem putin httpstcoogfejk i,0, ,en
homebuilding recruiter among top builders employees depending market rankandfi httpstcom bnvxuyta,1, ,en
china stole estimated billion us intellectual property annually many yearsespionage theft httpstcozzikfhqg m,1, ,en
data russian combat power remaining ukraine troops weapons military equipment per senior us defense httpstco b hofaipe,0, ,en
washington post pentagon says ukraine tanks ground russia ukrainian forces tank httpstco ajmmh zh,1, ,en
thoughts air war ukraine implications air forces general caveat stating httpstcouhvbfgah,1, ,en
wsj chart us home prices reached new record high march economy markets housing httpstcorqgykwko,1,economy,en
early underweight equities equities tend well first innings tightenincycle httpstcourvmao lon,1,equities,en
russia faces many hurdles pivoting asia alternative european gas price big one russia de httpstcojnapvqxjob,1, ,en
kazakhstans decision ban wheat exports really bad news countrys poorer central asian neighbors wh httpstcong qyletzy,0, ,en
buying conditions homes measured umich sentiment index orange incredibly sour median existing httpstcon lu h rrj,0, ,en
soon tell whether sampp buybacks peaked remain incredibly strong relative history httpstcoq fpnwlbo,1, ,en
slight uptick monthly supply existing homes march nowhere near longerterm average httpstcofqkatyli q,0, ,en
